%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1663722035337130551,3797,1663722035285358321,odom,0.849554425723,0.0,0.0,0.0,0.0,0.0,1.0,6.11611176282e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.11611176282e-06,0.0,0.0,0.0,0.0,0.0,0.0,3798000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3798000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3798000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11611584679
1663722035437038329,3798,1663722035426072493,odom,0.920271673116,0.0,0.0,0.0,0.0,0.0,1.0,1.98006164283e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.98006164283e-05,0.0,0.0,0.0,0.0,0.0,0.0,3799000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3799000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3799000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8000861529
1663722035537074370,3799,1663722035505362291,odom,0.960096313038,0.0,0.0,0.0,0.0,0.0,1.0,6.28700945526e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.28700945526e-06,0.0,0.0,0.0,0.0,0.0,0.0,3800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28683254309
1663722035637811971,3800,1663722035585388153,odom,1.00006304442,0.0,0.0,0.0,0.0,0.0,1.0,6.40412326902e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.40412326902e-06,0.0,0.0,0.0,0.0,0.0,0.0,3801000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3801000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3801000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40409757639
1663722035737193113,3801,1663722035725365441,odom,1.07043095445,0.0,0.0,0.0,0.0,0.0,1.0,1.9593629986e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9593629986e-05,0.0,0.0,0.0,0.0,0.0,0.0,3802000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3802000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3802000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5932572552
1663722035837214951,3802,1663722035805387674,odom,1.11048153338,0.0,0.0,0.0,0.0,0.0,1.0,6.40354119241e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.40354119241e-06,0.0,0.0,0.0,0.0,0.0,0.0,3803000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3803000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3803000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40351676976
1663722035937124688,3803,1663722035885358792,odom,1.15058564294,0.0,0.0,0.0,0.0,0.0,1.0,6.39527570456e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.39527570456e-06,0.0,0.0,0.0,0.0,0.0,0.0,3804000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3804000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3804000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39533881377
1663722036037162965,3804,1663722036025378512,odom,1.22109527234,0.0,0.0,0.0,0.0,0.0,1.0,1.96055043489e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.96055043489e-05,0.0,0.0,0.0,0.0,0.0,0.0,3805000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3805000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3805000000.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6051376224
1663722036137109457,3805,1663722036105358829,odom,1.26124530391,0.0,0.0,0.0,0.0,0.0,1.0,6.39702193439e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.39702193439e-06,0.0,0.0,0.0,0.0,0.0,0.0,3806000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3806000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3806000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39681018889
1663722036237122256,3806,1663722036225362142,odom,1.32116780091,0.0,0.0,0.0,0.0,0.0,1.0,1.44008081406e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.44008081406e-05,0.0,0.0,0.0,0.0,0.0,0.0,3807000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3807000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3807000000.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4005877525
1663722036337175248,3807,1663722036305361364,odom,1.36132638893,0.0,0.0,0.0,0.0,0.0,1.0,6.40004873276e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.40004873276e-06,0.0,0.0,0.0,0.0,0.0,0.0,3808000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3808000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3808000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39983456314
1663722036437110384,3808,1663722036425391964,odom,1.42171206329,0.0,0.0,0.0,0.0,0.0,1.0,1.44073273987e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.44073273987e-05,0.0,0.0,0.0,0.0,0.0,0.0,3809000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3809000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3809000000.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4071373693
1663722036537095723,3809,1663722036525364588,odom,1.47193764492,0.0,0.0,0.0,0.0,0.0,1.0,9.99448820949e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99448820949e-06,0.0,0.0,0.0,0.0,0.0,0.0,3810000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3810000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3810000000.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9944256614
1663722036637120997,3810,1663722036605388244,odom,1.51206816762,0.0,0.0,0.0,0.0,0.0,1.0,6.40365760773e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.40365760773e-06,0.0,0.0,0.0,0.0,0.0,0.0,3811000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3811000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3811000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40374451177
1663722036737159626,3811,1663722036725395573,odom,1.57219142628,0.0,0.0,0.0,0.0,0.0,1.0,1.44016230479e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.44016230479e-05,0.0,0.0,0.0,0.0,0.0,0.0,3812000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3812000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3812000000.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4015516075
1663722036837106911,3812,1663722036825365496,odom,1.62227307386,0.0,0.0,0.0,0.0,0.0,1.0,9.9940225482e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.9940225482e-06,0.0,0.0,0.0,0.0,0.0,0.0,3813000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3813000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3813000000.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99388562737
1663722036937108244,3813,1663722036905391890,odom,1.66214624659,0.0,0.0,0.0,0.0,0.0,1.0,6.40423968434e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.40423968434e-06,0.0,0.0,0.0,0.0,0.0,0.0,3814000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3814000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3814000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40418272326
1663722037037120228,3814,1663722036985359809,odom,1.70239047913,0.0,0.0,0.0,0.0,0.0,1.0,6.3949264586e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.3949264586e-06,0.0,0.0,0.0,0.0,0.0,0.0,3815000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3815000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3815000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39482717554
