%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663722038848135165,0.0,0.0,0.0,0.0,0.0,0.0
1663722038868357953,0.0,0.0,0.0,0.0,0.0,0.0
1663722038888572108,0.0,0.0,0.0,0.0,0.0,0.0
1663722038908854960,0.0,0.0,0.0,0.0,0.0,0.0
1663722038928936961,0.0,0.0,0.0,0.0,0.0,0.0
1663722038949354915,0.0,0.0,0.0,0.0,0.0,0.0
1663722038969521630,0.0,0.0,0.0,0.0,0.0,0.0
1663722038989709747,0.0,0.0,0.0,0.0,0.0,0.0
1663722039009883002,0.0,0.0,0.0,0.0,0.0,0.0
1663722039030012808,0.0,0.0,0.0,0.0,0.0,0.0
1663722039050295613,0.0,0.0,0.0,0.0,0.0,0.0
1663722039070502257,0.0,0.0,0.0,0.0,0.0,0.0
1663722039090620774,0.0,0.0,0.0,0.0,0.0,0.0
1663722039110913312,0.0,0.0,0.0,0.0,0.0,0.0
1663722039131074011,0.0,0.0,0.0,0.0,0.0,0.0
1663722039151209380,0.0,0.0,0.0,0.0,0.0,0.0
1663722039171347836,0.0,0.0,0.0,0.0,0.0,0.0
1663722039191471578,0.0,0.0,0.0,0.0,0.0,0.0
1663722039211640582,0.0,0.0,0.0,0.0,0.0,0.0
1663722039231888632,0.0,0.0,0.0,0.0,0.0,0.0
1663722039252060471,0.0,0.0,0.0,0.0,0.0,0.0
1663722039272269442,0.0,0.0,0.0,0.0,0.0,0.0
1663722039292452325,0.0,0.0,0.0,0.0,0.0,0.0
1663722039312776066,0.0,0.0,0.0,0.0,0.0,0.0
1663722039333140127,0.0,0.0,0.0,0.0,0.0,0.0
1663722039353374263,0.0,0.0,0.0,0.0,0.0,0.0
1663722039373638454,0.0,0.0,0.0,0.0,0.0,0.0
1663722039393836894,0.0,0.0,0.0,0.0,0.0,0.0
1663722039414048998,0.0,0.0,0.0,0.0,0.0,0.0
1663722039434200206,0.0,0.0,0.0,0.0,0.0,0.0
1663722039454547718,0.0,0.0,0.0,0.0,0.0,0.0
1663722039474798781,0.0,0.0,0.0,0.0,0.0,0.0
1663722039495006716,0.0,0.0,0.0,0.0,0.0,0.0
1663722039515215997,0.0,0.0,0.0,0.0,0.0,0.0
1663722039535305708,0.0,0.0,0.0,0.0,0.0,0.0
1663722039555509131,0.0,0.0,0.0,0.0,0.0,0.0
1663722039575645056,0.0,0.0,0.0,0.0,0.0,0.0
1663722039595910144,0.0,0.0,0.0,0.0,0.0,0.0
1663722039616071034,0.0,0.0,0.0,0.0,0.0,0.0
1663722039636194718,0.0,0.0,0.0,0.0,0.0,0.0
